positionName,workYear,education,jobNature,financeStage,industryField,companyShortName,city,salary,district,createTime,positionLables,companySize,firstType,secondType,isSchoolJob,minSalary,maxSalary,maxCompanySize,companyScale
机器学习工程师,3-5年,硕士,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,35k-70k,朝阳区,2018-07-19,"['广告营销', '数据挖掘', '算法']",2000人以上,开发/测试/运维类,数据开发,0,35.0,70.0,2000,大型企业
高级机器学习研究员,3-5年,硕士,全职,上市公司,"移动互联网,数据服务",联想集团,北京,30k-50k,海淀区,2018-07-19,"['云计算', '大数据', '数据挖掘']",2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
机器学习工程师,3-5年,硕士,全职,C轮,"移动互联网,教育",小站教育,北京,15k-25k,海淀区,2018-07-19,"['人工智能', '算法']",500-2000人,开发/测试/运维类,数据开发,0,15.0,25.0,2000,大型企业
机器学习工程师,3-5年,硕士,全职,C轮,"移动互联网,金融",INK 银客集团,北京,20k-40k,海淀区,2018-07-18,['算法'],500-2000人,开发/测试/运维类,数据开发,0,20.0,40.0,2000,大型企业
大规模机器学习高级工程师,3-5年,硕士,全职,A轮,数据服务,智铀科技,北京,30k-60k,海淀区,2018-07-18,"['广告营销', '资深', '数据挖掘', '算法']",50-150人,开发/测试/运维类,后端开发,0,30.0,60.0,150,小型企业
人工智能与机器学习工程师,3-5年,硕士,全职,不需要融资,"移动互联网,电子商务",顺丰科技有限公司,北京,20k-40k,海淀区,2018-07-18,"['数据分析', '数据挖掘', '算法']",500-2000人,开发/测试/运维类,数据开发,0,20.0,40.0,2000,大型企业
机器学习平台工程师,3-5年,硕士,全职,上市公司,"电子商务,数据服务",京东集团,北京,30k-60k,朝阳区,2018-07-06,"['云计算', '算法', '深度学习', 'Java', 'python']",2000人以上,开发/测试/运维类,数据开发,0,30.0,60.0,2000,大型企业
自然语言处理/机器学习算法工程师,3-5年,硕士,全职,C轮,O2O,瓜子二手车直卖网,北京,25k-50k,海淀区,2018-07-18,"['NLP', '人工智能']",2000人以上,开发/测试/运维类,数据开发,0,25.0,50.0,2000,大型企业
机器学习研发部-自然语言处理研究员,3-5年,硕士,全职,上市公司,移动互联网,新浪微博,北京,30k-60k,海淀区,2018-07-09,"['NLP', '算法', 'C/C＋＋']",2000人以上,开发/测试/运维类,数据开发,0,30.0,60.0,2000,大型企业
商业平台-资深机器学习研究员,3-5年,硕士,全职,上市公司,"移动互联网,数据服务",搜狗,北京,40k-60k,海淀区,2018-07-19,[],2000人以上,开发|测试|运维类,人工智能,0,40.0,60.0,2000,大型企业
资深机器学习专家,3-5年,硕士,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,30k-50k,朝阳区,2018-07-18,[],2000人以上,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
算法工程师（机器学习）-机票事业部(J12936),3-5年,硕士,全职,不需要融资,移动互联网,去哪儿网,北京,25k-40k,海淀区,2018-07-16,[],2000人以上,开发|测试|运维类,人工智能,0,25.0,40.0,2000,大型企业
机器学习（工作地：北京/郑州）,3-5年,硕士,全职,不需要融资,移动互联网,中移在线服务有限公司,北京,15k-30k,西城区,2018-07-17,"['教育', '资深', '高级', '中级', '算法']",2000人以上,开发/测试/运维类,数据开发,0,15.0,30.0,2000,大型企业
机器学习算法-智能通知栏,3-5年,硕士,全职,D轮及以上,移动互联网,小米,北京,28k-40k,海淀区,2018-07-18,"['数据挖掘', 'NLP', '人工智能', '大数据']",2000人以上,开发/测试/运维类,数据开发,0,28.0,40.0,2000,大型企业
机器学习高级建模工程师,3-5年,硕士,全职,A轮,数据服务,智铀科技,北京,25k-50k,海淀区,2018-07-18,['算法'],50-150人,开发/测试/运维类,后端开发,0,25.0,50.0,150,小型企业
计算机视觉/机器学习工程师--大数据&amp;滴滴研究院(J13266),3-5年,硕士,全职,不需要融资,移动互联网,滴滴出行,北京,25k-50k,海淀区,2018-07-19,"['图像处理', '算法']",2000人以上,技术,后端开发,0,25.0,50.0,2000,大型企业
工业智能机器学习算法专家,3-5年,硕士,全职,上市公司,"移动互联网,数据服务",联想集团,北京,25k-45k,海淀区,2018-07-18,['python'],2000人以上,开发/测试/运维类,数据开发,0,25.0,45.0,2000,大型企业
机器学习系统架构,3-5年,硕士,全职,B轮,移动互联网,第四范式,北京,30k-60k,海淀区,2018-07-13,[],150-500人,开发/测试/运维类,数据开发,0,30.0,60.0,500,中型企业
高级机器学习算法工程师,3-5年,硕士,全职,A轮,医疗健康,海思瑞格,北京,25k-50k,海淀区,2018-06-20,"['医疗健康', '深度学习', '大数据', '数据挖掘']",15-50人,开发/测试/运维类,数据开发,0,25.0,50.0,50,小型企业
OMG097-机器学习高级算法工程师（北京）,3-5年,硕士,全职,上市公司,"移动互联网 ,游戏",腾讯,北京,20k-40k,海淀区,2018-07-16,"['深度学习', '模式识别']",2000人以上,开发/测试/运维类,数据开发,0,20.0,40.0,2000,大型企业
机器学习——金融事业部,3-5年,硕士,全职,上市公司,"移动互联网,旅游",携程,北京,20k-40k,海淀区,2018-07-17,[],2000人以上,开发|测试|运维类,数据开发,0,20.0,40.0,2000,大型企业
机器学习算法工程师（AI音乐）J10298,3-5年,硕士,全职,D轮及以上,移动互联网,快手,北京,30k-50k,海淀区,2018-07-18,"['视频', '音乐', '数据分析', '深度学习']",500-2000人,开发/测试/运维类,数据开发,0,30.0,50.0,2000,大型企业
机器学习算法专家,3-5年,硕士,全职,D轮及以上,"移动互联网,O2O",美团点评,北京,40k-70k,朝阳区,2018-07-19,[],2000人以上,开发|测试|运维类,人工智能,0,40.0,70.0,2000,大型企业
