positionName,workYear,education,jobNature,financeStage,industryField,companyShortName,companyFullName,city,salary,district,createTime,positionLables,companySize,firstType,secondType,isSchoolJob
Python,1年以下,本科,全职,C轮,"医疗健康,数据服务",LinkDoc,零氪信息技术（北京）有限公司,北京,13k-20k,海淀区,2018-07-18 11:36:35,"['大数据', '数据挖掘', '算法']",150-500人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,A轮,"信息安全,数据服务",Flow++,北京知多星科技有限公司,北京,10k-20k,海淀区,2018-07-18 08:30:34,"['MySQL', '后端']",15-50人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,不需要融资,金融、移动互联网,信达悦和,信达悦和资产管理（北京）有限公司,北京,10k-20k,海淀区,2018-07-18 06:28:48,"['高级', '中级', '后端开发', '架构师', '全栈']",50-150人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,本科,全职,天使轮,"移动互联网,游戏",悠扬互动,北京悠扬互动科技有限公司,北京,13k-20k,朝阳区,2018-07-16 10:47:48,['移动互联网'],50-150人,开发/测试/运维类,后端开发,0
Python高级研发工程师,1-3年,本科,全职,C轮,"移动互联网,O2O",更美APP,北京完美创意科技有限公司,北京,20k-40k,朝阳区,2018-06-29 18:08:43,"['后端开发', 'Java', '分布式']",150-500人,开发/测试/运维类,后端开发,0
Python server端工程师,1-3年,本科,全职,不需要融资,移动互联网,币信,北京势在必行网络科技有限公司,北京,20k-40k,海淀区,2018-07-19 10:38:52,[],50-150人,开发/测试/运维类,后端开发,0
Python工程师-赴微软小冰,1-3年,本科,全职,不需要融资,"移动互联网,电子商务",微创,上海微创软件股份有限公司北京分公司,北京,8k-10k,海淀区,2018-07-17 15:20:42,['人工智能'],2000人以上,开发/测试/运维类,后端开发,0
Python软件开发工程师,1-3年,本科,全职,上市公司,移动互联网,中创信测,北京中创信测科技股份有限公司,北京,12k-20k,海淀区,2018-07-12 14:32:40,"['linux', 'django']",500-2000人,开发/测试/运维类,后端开发,0
Python系统开发工程师,1-3年,本科,全职,B轮,"金融,数据服务",聚宽 JoinQuant,北京小龙虾科技有限公司,北京,15k-30k,朝阳区,2018-07-16 17:23:16,"['金融', '信息安全', 'php', 'Java', 'docker']",50-150人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,本科,全职,天使轮,"移动互联网,社交网络",江山如画网络科技,北京江山如画网路科技有限责任公司,北京,8k-16k,海淀区,2018-07-19 14:47:24,"['云计算', 'web', '服务器端', 'php', 'MySQL']",少于15人,开发/测试/运维类,后端开发,0
python开发工程师,1-3年,本科,全职,天使轮,"企业服务,数据服务",深极智能,北京深极智能科技有限公司,北京,15k-30k,海淀区,2018-07-10 10:01:23,"['游戏', 'php', 'Java']",少于15人,开发/测试/运维类,后端开发,0
Python开发工程师,1-3年,本科,全职,A轮,企业服务,蓝沧科技,北京蓝沧科技有限公司,北京,10k-20k,朝阳区,2018-07-06 14:01:58,"['云计算', 'OpenStack']",50-150人,开发/测试/运维类,后端开发,0
高级爬虫工程师,1-3年,本科,全职,上市公司,移动互联网,新浪微博,微梦创科网络科技（中国）有限公司,北京,15k-30k,海淀区,2018-07-19 10:21:52,"['后端开发', 'Java', 'PHP', 'Python']",2000人以上,开发/测试/运维类,后端开发,0
Python/Golang开发工程师,1-3年,本科,全职,B轮,移动互联网,Yi+,北京陌上花科技有限公司,北京,20k-40k,海淀区,2018-07-19 14:53:20,"['高级', '中级', 'linux']",50-150人,开发/测试/运维类,后端开发,0
Python工程师-服务器端,1-3年,本科,全职,B轮,旅游,Weego Travel,非凡维格（北京）信息科技有限公司,北京,15k-30k,朝阳区,2018-07-18 19:09:14,"['信息安全', 'node.js', 'php', 'web']",50-150人,开发/测试/运维类,后端开发,0
python,1-3年,本科,全职,天使轮,"移动互联网,金融",金链,北京金链网信息技术有限公司,北京,12k-18k,朝阳区,2018-07-18 15:46:15,[],15-50人,开发|测试|运维类,后端开发,0
Python数据工程师,1-3年,本科,全职,D轮及以上,"移动互联网,金融",闪银奇异,北京闪银奇异科技有限公司,北京,15k-30k,朝阳区,2018-07-16 18:00:13,"['大数据', '数据分析', '数据开发']",500-2000人,开发/测试/运维类,后端开发,0
python软件开发工程师,1-3年,本科,全职,A轮,移动互联网 企业服务,mioto喵图,北京东方畅享科技有限公司,北京,15k-30k,海淀区,2018-07-16 15:13:30,"['高级', '二次开发']",15-50人,开发/测试/运维类,软件开发,0
